date,sleep_hours,study_hours,screen_time,exercise_minutes,mood_score,energy_level,task_difficulty,study_sessions,distractions,goal_completion,subject,productivity_rating,day_of_week,month,is_weekend,is_exam_season,study_efficiency,distraction_rate,screen_study_ratio,wellness_score,optimal_sleep,goal_efficiency,study_sleep_ratio,exercise_study_ratio,sessions_per_hour,average_session_length
2020-12-21,6.2,8.8,4.6,8.0,5.6,5.9,6,6,5,100.0,7,10,0,12,0,1,1.4666666666666668,0.8333333333333334,0.5227272727272726,4.491666666666667,0,11.363636363636363,1.4193548387096775,0.9090909090909091,0.6818181818181818,1.4666666666666668
2025-01-28,7.5,3.0,6.6,19.0,6.3,7.2,6,5,2,66.0,11,10,1,1,0,0,0.6,0.4,2.1999999999999997,5.408333333333333,1,22.0,0.4,6.333333333333333,1.6666666666666667,0.6
2021-01-20,7.8,4.9,3.8,31.0,8.4,6.7,6,7,3,68.0,10,10,2,1,0,0,0.7000000000000001,0.42857142857142855,0.7755102040816325,5.983333333333333,1,13.877551020408163,0.6282051282051283,6.326530612244897,1.4285714285714284,0.7000000000000001
2024-02-01,7.0,5.6,6.2,32.0,6.2,7.0,4,7,5,66.0,9,10,3,2,0,0,0.7999999999999999,0.7142857142857143,1.1071428571428572,5.316666666666666,1,11.785714285714286,0.7999999999999999,5.714285714285714,1.25,0.7999999999999999
2021-12-23,9.3,5.0,6.1,24.0,7.9,9.6,6,6,3,63.0,4,10,3,12,0,1,0.8333333333333334,0.5,1.22,6.900000000000001,0,12.6,0.5376344086021505,4.8,1.2,0.8333333333333334
2024-08-28,6.2,1.8,8.2,18.0,7.6,6.8,7,6,6,41.0,0,8,2,8,0,0,0.3,1.0,4.555555555555555,5.325,0,22.77777777777778,0.2903225806451613,10.0,3.333333333333333,0.3
2020-11-08,7.7,3.4,4.5,42.0,9.0,7.9,10,2,1,66.0,16,10,6,11,1,1,1.7,0.5,1.3235294117647058,6.5,1,19.411764705882355,0.44155844155844154,12.352941176470589,0.5882352941176471,1.7
2022-04-02,5.3,3.6,8.3,9.0,5.2,6.7,8,2,7,60.0,11,6,5,4,1,1,1.8,3.5,2.305555555555556,4.375,0,16.666666666666668,0.679245283018868,2.5,0.5555555555555556,1.8
2022-06-23,7.2,4.9,3.7,35.0,6.1,7.1,8,6,2,91.0,25,10,3,6,0,0,0.8166666666666668,0.3333333333333333,0.7551020408163265,5.391666666666667,1,18.57142857142857,0.6805555555555556,7.142857142857142,1.2244897959183672,0.8166666666666668
2021-06-04,5.7,6.1,4.8,27.0,6.0,5.6,4,5,4,79.0,13,10,4,6,0,0,1.22,0.8,0.7868852459016393,4.549999999999999,0,12.950819672131148,1.0701754385964912,4.426229508196721,0.819672131147541,1.22
2025-09-12,6.8,8.9,4.3,24.0,4.8,5.6,5,5,5,91.0,21,10,4,9,0,0,1.78,1.0,0.4831460674157303,4.5,0,10.224719101123595,1.3088235294117647,2.696629213483146,0.5617977528089887,1.78
2025-01-19,6.7,1.5,8.1,6.0,6.6,4.5,4,3,7,53.0,1,5,6,1,1,0,0.5,2.3333333333333335,5.3999999999999995,4.5,0,35.333333333333336,0.22388059701492538,4.0,2.0,0.5
2022-01-27,6.4,6.9,1.3,42.0,6.6,9.5,3,6,3,77.0,2,10,3,1,0,0,1.1500000000000001,0.5,0.18840579710144928,5.975,0,11.159420289855072,1.078125,6.08695652173913,0.8695652173913043,1.1500000000000001
2024-07-22,6.4,7.7,5.6,21.0,7.1,5.0,8,3,5,85.0,5,10,0,7,0,0,2.566666666666667,1.6666666666666667,0.7272727272727272,4.8,0,11.03896103896104,1.203125,2.727272727272727,0.38961038961038963,2.566666666666667
2022-11-06,6.2,5.3,5.5,71.0,8.2,8.3,4,7,4,87.0,24,10,6,11,1,1,0.7571428571428571,0.5714285714285714,1.0377358490566038,6.266666666666667,0,16.41509433962264,0.8548387096774193,13.39622641509434,1.3207547169811322,0.7571428571428571
2021-05-03,5.8,7.5,6.2,7.0,7.6,3.3,6,2,4,100.0,6,10,0,5,0,1,3.75,2.0,0.8266666666666667,4.233333333333333,0,13.333333333333334,1.293103448275862,0.9333333333333333,0.26666666666666666,3.75
2023-01-26,2.5,8.6,7.7,0.0,6.3,2.9,8,6,3,100.0,1,10,3,1,0,0,1.4333333333333333,0.5,0.8953488372093024,2.9250000000000003,0,11.627906976744187,3.44,0.0,0.6976744186046512,1.4333333333333333
2020-11-06,6.6,3.9,8.4,25.0,6.4,5.7,7,2,4,75.0,16,9,4,11,0,1,1.95,2.0,2.153846153846154,5.325,0,19.23076923076923,0.5909090909090909,5.0,0.5128205128205129,1.95
2025-08-12,7.8,4.3,5.5,54.0,9.6,6.5,4,7,1,84.0,24,10,1,8,0,0,0.6142857142857142,0.14285714285714285,1.2790697674418605,6.425,1,19.53488372093023,0.5512820512820513,12.558139534883722,1.627906976744186,0.6142857142857142
2023-08-18,5.7,8.1,5.1,11.0,6.0,6.1,6,5,3,100.0,24,10,4,8,0,0,1.6199999999999999,0.6,0.6296296296296297,4.541666666666666,0,12.345679012345679,1.4210526315789473,1.3580246913580247,0.617283950617284,1.6199999999999999
2021-12-27,4.6,4.4,6.7,20.0,8.3,6.5,9,5,5,60.0,3,10,0,12,0,1,0.8800000000000001,1.0,1.5227272727272727,5.016666666666667,0,13.636363636363635,0.9565217391304349,4.545454545454545,1.1363636363636362,0.8800000000000001
2024-06-28,6.8,2.4,4.4,27.0,6.3,6.0,4,3,1,55.0,12,9,4,6,0,0,0.7999999999999999,0.3333333333333333,1.8333333333333335,5.0,0,22.916666666666668,0.35294117647058826,11.25,1.25,0.7999999999999999
2020-02-06,6.5,5.3,4.5,47.0,8.2,6.8,7,3,5,61.0,10,10,3,2,0,0,1.7666666666666666,1.6666666666666667,0.8490566037735849,5.325,0,11.50943396226415,0.8153846153846154,8.867924528301888,0.5660377358490566,1.7666666666666666
2023-07-09,6.6,4.9,4.9,29.0,5.7,7.4,7,1,5,74.0,2,10,6,7,1,0,4.9,5.0,1.0,5.166666666666667,0,15.102040816326529,0.7424242424242425,5.918367346938775,0.2040816326530612,4.9
2021-03-01,8.8,7.2,12.279005359624962,34.0,8.2,8.1,9,4,1,86.0,21,10,0,3,0,1,1.8,0.25,1.7054174110590226,6.558333333333334,1,11.944444444444445,0.8181818181818181,4.722222222222222,0.5555555555555556,1.8
2021-11-30,7.6,8.7,3.7,36.0,6.9,7.6,8,5,3,100.0,16,10,1,11,0,1,1.7399999999999998,0.6,0.4252873563218391,5.825,1,11.49425287356322,1.144736842105263,4.137931034482759,0.574712643678161,1.7399999999999998
2022-07-06,5.8,2.5,12.0,12.0,5.3,6.7,9,3,8,35.0,5,5,2,7,0,0,0.8333333333333334,2.6666666666666665,4.8,4.55,0,14.0,0.4310344827586207,4.8,1.2,0.8333333333333334
2025-06-29,5.6,1.4,6.2,25.0,5.6,6.9,6,2,5,41.0,2,7,6,6,1,0,0.7,2.5,4.428571428571429,4.733333333333333,0,29.28571428571429,0.25,17.857142857142858,1.4285714285714286,0.7
2022-05-18,6.8,7.9,4.0,17.0,6.1,5.4,4,5,5,95.0,15,10,2,5,0,1,1.58,1.0,0.5063291139240506,5.325,0,12.025316455696203,0.8285714285714285,2.151898734177215,0.6329113924050632,1.58
2024-05-26,6.8,3.3,4.7,34.0,8.4,8.4,9,4,5,61.0,5,9,6,5,1,1,0.825,1.25,1.4242424242424243,6.183333333333334,0,18.484848484848484,0.4852941176470588,10.303030303030303,1.2121212121212122,0.825
2022-10-13,5.7,8.1,2.3,25.0,5.9,8.5,10,2,5,100.0,18,10,3,10,0,1,4.05,2.5,0.2839506172839506,5.325,0,12.345679012345679,1.4210526315789473,5.0,0.2469135802469136,4.05
2025-08-05,6.5,1.9,7.5,15.0,7.6,5.7,9,4,5,54.0,7,7,1,8,0,0,0.475,1.25,3.947368421052632,5.075,0,28.42105263157895,0.29230769230769227,7.894736842105264,2.1052631578947367,0.475
2025-05-03,7.7,6.2,3.2,27.0,7.1,7.0,4,7,1,89.0,13,10,5,5,1,1,0.8857142857142858,0.14285714285714285,0.5161290322580645,5.675,1,14.354838709677418,0.8051948051948052,4.354838709677419,1.129032258064516,0.8857142857142858
2025-06-09,6.7,8.8,3.2,18.0,5.8,8.0,5,4,6,96.0,9,10,0,6,0,0,2.2,1.5,0.36363636363636365,5.275,0,10.909090909090908,1.3134328358208955,2.0454545454545454,0.45454545454545453,2.2
2020-01-22,7.4,8.3,3.9,33.0,9.5,6.8,5,5,4,100.0,6,10,2,1,0,0,1.6600000000000001,0.8,0.4698795180722891,6.2,1,12.048192771084336,1.1216216216216217,3.975903614457831,0.6024096385542168,1.6600000000000001
2021-11-15,7.6,8.0,8.9,28.0,6.6,6.8,10,1,2,87.0,10,10,0,11,0,1,8.0,2.0,1.1125,5.483333333333333,1,10.875,1.0526315789473684,3.5,0.125,8.0
2025-06-05,6.7,5.5,4.4,37.0,5.4,8.9,5,4,4,71.0,12,10,3,6,0,0,1.375,1.0,0.8,5.558333333333334,0,12.909090909090908,0.8208955223880596,6.7272727272727275,0.7272727272727273,1.375
2023-12-12,5.6,1.4,6.7,25.0,4.9,7.2,7,3,9,41.0,16,6,1,12,0,1,0.4666666666666666,3.0,4.7857142857142865,5.325,0,29.28571428571429,0.25,5.0,2.142857142857143,0.4666666666666666
2021-06-09,7.8,5.1,1.8,58.0,8.8,6.2,8,7,4,72.0,16,10,2,6,0,0,0.7285714285714285,0.5714285714285714,0.35294117647058826,6.183333333333334,1,14.11764705882353,0.6538461538461539,11.372549019607844,1.3725490196078431,0.7285714285714285
2025-08-02,8.7,6.2,2.9,24.0,7.6,6.6,7,6,3,92.0,0,10,5,8,1,0,1.0333333333333334,0.5,0.46774193548387094,5.925,1,14.838709677419354,0.7126436781609197,3.8709677419354835,0.9677419354838709,1.0333333333333334
2023-07-04,7.6,5.2,3.4,10.0,7.3,5.0,6,5,4,79.0,22,10,1,7,0,0,1.04,0.8,0.6538461538461539,5.058333333333333,1,15.192307692307692,0.6842105263157895,1.923076923076923,0.9615384615384615,1.04
2025-01-21,5.5,8.8,3.7,9.0,6.5,5.7,7,4,3,97.0,20,10,1,1,0,0,2.2,0.75,0.4204545454545454,4.5,0,11.022727272727272,1.6,1.0227272727272727,0.45454545454545453,2.2
2022-12-18,6.4,5.1,5.7,42.0,7.8,4.6,5,2,1,74.0,14,10,6,12,1,1,2.55,0.5,1.1176470588235294,5.049999999999999,0,14.50980392156863,0.7968749999999999,8.23529411764706,0.3921568627450981,2.55
2023-09-26,7.3,9.3,2.3,43.0,7.7,9.5,7,3,1,100.0,17,10,1,9,0,0,3.1,0.3333333333333333,0.24731182795698922,6.483333333333333,1,10.75268817204301,1.2739726027397262,4.623655913978494,0.3225806451612903,3.1
2021-08-10,8.3,7.2,3.0,54.0,8.6,6.9,8,4,0,100.0,13,10,1,8,0,0,1.8,0.0,0.41666666666666663,6.3999999999999995,1,13.88888888888889,0.8674698795180722,7.5,0.5555555555555556,1.8
2023-01-17,5.3,8.9,6.3,13.0,6.6,5.7,6,6,7,93.0,15,10,1,1,0,0,1.4833333333333334,1.1666666666666667,0.7078651685393258,4.508333333333333,0,10.44943820224719,1.679245283018868,1.4606741573033708,0.6741573033707865,1.4833333333333334
2023-10-20,6.6,1.8,5.4,3.0,4.1,6.2,9,5,9,19.0,10,3,4,10,0,1,0.36,1.8,3.0,4.25,0,10.555555555555555,0.27272727272727276,1.6666666666666665,2.7777777777777777,0.36
2025-07-02,6.3,5.9,4.0,31.0,5.4,6.9,4,6,2,60.0,13,10,2,7,0,0,0.9833333333333334,0.3333333333333333,0.6779661016949152,4.908333333333334,0,10.169491525423728,0.9365079365079366,5.2542372881355925,1.0169491525423728,0.9833333333333334
2023-09-11,6.7,4.3,7.5,32.0,6.0,7.1,7,4,9,53.0,16,7,0,9,0,0,1.075,2.25,1.744186046511628,5.216666666666666,0,12.325581395348838,0.6417910447761194,7.441860465116279,0.9302325581395349,1.075
2021-01-07,8.0,4.1,1.6,35.0,6.3,7.9,7,1,4,65.0,4,10,3,1,0,0,4.1,4.0,0.39024390243902446,5.841666666666668,1,15.853658536585368,0.5125,8.536585365853659,0.24390243902439027,4.1
2021-03-20,7.0,5.9,5.8,58.0,8.4,7.5,7,5,5,77.0,0,10,5,3,1,1,1.1800000000000002,1.0,0.983050847457627,6.208333333333333,1,13.050847457627118,0.8428571428571429,9.83050847457627,0.847457627118644,1.1800000000000002
2021-06-04,5.3,5.8,4.2,17.0,7.6,5.2,5,5,2,86.0,13,10,4,6,0,0,1.16,0.4,0.7241379310344828,4.666666666666666,0,14.827586206896552,1.0943396226415094,2.931034482758621,0.8620689655172414,1.16
2020-05-25,6.3,1.6,7.1,14.0,4.6,6.4,6,7,8,22.0,19,4,0,5,0,1,0.2285714285714286,1.1428571428571428,4.437499999999999,4.4416666666666655,0,13.75,0.253968253968254,8.75,4.375,0.2285714285714286
2024-03-26,8.5,3.0,5.0,29.0,6.1,5.7,7,2,3,63.0,14,10,1,3,0,1,1.5,1.5,1.6666666666666667,5.316666666666666,1,21.0,0.35294117647058826,9.666666666666666,0.6666666666666666,1.5
2022-09-25,7.4,5.8,6.6,29.0,5.8,6.2,9,5,5,68.0,7,10,6,9,1,0,1.16,1.0,1.1379310344827587,5.091666666666666,1,11.724137931034484,0.7837837837837838,5.0,0.8620689655172414,1.16
2022-08-13,6.7,0.8,10.4,32.0,7.2,5.1,9,2,10,39.0,5,4,5,8,1,0,0.4,5.0,13.0,5.016666666666667,0,48.75,0.11940298507462686,40.0,2.5,0.4
2024-12-26,6.2,6.3,4.7,35.0,8.5,6.4,3,6,1,90.0,6,10,3,12,0,1,1.05,0.16666666666666666,0.746031746031746,5.566666666666667,0,14.285714285714286,1.0161290322580645,5.555555555555555,0.9523809523809524,1.05
2020-08-24,8.5,7.9,3.3,22.0,7.7,8.7,4,7,3,88.0,15,10,0,8,0,0,1.1285714285714286,0.42857142857142855,0.4177215189873417,6.408333333333333,1,11.139240506329113,0.9294117647058824,2.7848101265822782,0.8860759493670886,1.1285714285714286
2021-04-25,5.8,2.7,3.2,22.0,7.1,6.4,5,4,1,62.0,2,10,6,4,1,1,0.675,0.25,1.1851851851851851,5.008333333333333,0,22.962962962962962,0.4655172413793104,8.148148148148147,1.4814814814814814,0.675
2023-09-01,5.1,5.8,6.9,7.0,5.7,4.9,8,6,5,77.0,8,8,4,9,0,0,0.9666666666666667,0.8333333333333334,1.1896551724137931,3.9833333333333334,0,13.275862068965518,1.1372549019607843,1.206896551724138,1.0344827586206897,0.9666666666666667
