date,sleep_hours,study_hours,screen_time,exercise_minutes,mood_score,energy_level,task_difficulty,study_sessions,distractions,goal_completion,subject,productivity_rating
2020-01-22,7.4,8.3,3.9,33.0,9.5,6.8,5,5,4,100.0,Current Affairs,10
2021-11-15,7.6,8.0,8.9,28.0,6.6,6.8,10,1,2,87.0,Electronics,10
2025-06-05,6.7,5.5,4.4,37.0,5.4,8.9,5,4,4,71.0,English,10
2023-12-12,5.6,1.4,6.7,,4.9,7.2,7,3,9,41.0,Machine Learning,6
2021-06-09,7.8,5.1,1.8,58.0,8.8,6.2,8,7,4,72.0,Machine Learning,10
2025-08-02,8.7,6.2,2.9,24.0,7.6,6.6,7,6,3,92.0,Accountancy,10
2023-07-04,7.6,5.2,3.4,10.0,7.3,5.0,6,5,4,79.0,Project Work,10
2025-01-21,5.5,8.8,3.7,9.0,6.5,5.7,7,4,3,97.0,Political Science,10
2022-12-18,6.4,5.1,5.7,42.0,7.8,4.6,5,2,1,74.0,Geography,10
2023-09-26,7.3,9.3,2.3,43.0,7.7,9.5,7,3,1,100.0,Mathematics,10
2021-08-10,8.3,7.2,3.0,54.0,8.6,6.9,8,4,0,100.0,Exam Revision,10
2023-01-17,5.3,8.9,6.3,13.0,6.6,5.7,6,6,7,93.0,History,10
2023-10-20,6.6,1.8,5.4,3.0,4.1,6.2,9,5,9,19.0,Electronics,3
2025-07-02,6.3,5.9,4.0,31.0,5.4,6.9,4,6,2,60.0,Exam Revision,10
2023-09-11,6.7,4.3,7.5,32.0,6.0,7.1,7,4,9,53.0,Machine Learning,7
2021-01-07,8.0,4.1,1.6,35.0,6.3,7.9,7,1,4,65.0,Computer Networks,10
2021-03-20,7.0,5.9,5.8,58.0,8.4,7.5,7,5,5,77.0,Accountancy,10
2021-06-04,5.3,5.8,4.2,17.0,7.6,5.2,5,5,2,86.0,Exam Revision,10
2020-05-25,6.3,1.6,7.1,14.0,4.6,6.4,6,7,8,22.0,Physics,4
2024-03-26,8.5,3.0,5.0,29.0,6.1,5.7,7,2,3,63.0,Geography,10
2022-09-25,7.4,5.8,6.6,29.0,5.8,6.2,9,5,5,68.0,Data Structures,10
2022-08-13,6.7,0.8,10.4,32.0,7.2,5.1,9,2,10,39.0,Computer Science,4
2024-12-26,6.2,6.3,4.7,35.0,8.5,6.4,3,6,1,90.0,Current Affairs,10
2020-08-24,8.5,7.9,3.3,22.0,7.7,8.7,4,7,3,88.0,History,10
2021-04-25,5.8,2.7,3.2,22.0,7.1,6.4,5,4,1,62.0,Business Studies,10
2023-09-01,5.1,5.8,6.9,7.0,5.7,4.9,8,6,5,77.0,Database Systems,8
2024-12-16,5.9,11.3,2.0,12.0,6.6,6.5,6,6,4,100.0,Data Structures,10
2022-08-21,7.8,6.5,2.9,54.0,8.9,7.3,9,2,0,82.0,Data Structures,10
2024-03-20,5.8,2.9,6.9,15.0,5.8,6.2,8,7,5,51.0,Data Structures,7
2025-11-18,6.7,6.0,1.4,24.0,5.4,6.9,5,7,4,66.0,English,10
2024-03-29,7.4,5.8,3.6,24.0,5.8,7.8,9,2,5,61.0,Quantitative Aptitude,10
2025-07-02,7.0,5.9,4.7,15.0,7.3,5.6,10,2,5,80.0,Engineering Mathematics,10
2025-05-02,7.3,6.4,6.2,13.0,6.7,7.7,9,1,4,93.0,Database Systems,10
2020-03-19,6.0,6.9,4.6,9.0,5.7,7.6,4,1,3,78.0,Current Affairs,10
2021-02-02,4.4,8.4,7.4,0.0,6.7,4.5,6,1,4,86.0,History,10
2022-08-20,8.9,6.5,15.065981129310002,83.0,8.7,7.4,7,5,1,92.0,Computer Networks,10
2023-08-04,6.0,6.2,3.8,7.0,6.2,6.1,3,2,3,84.0,Exam Revision,10
2025-12-09,6.3,3.3,7.5,,7.1,5.6,7,3,10,48.0,Economics,5
2022-02-08,8.5,7.7,2.5,17.0,9.7,8.8,9,6,3,85.0,Computer Science,10
2025-08-28,7.2,3.7,4.2,,7.3,6.4,3,4,2,61.0,Exam Revision,10
2023-11-29,5.3,3.5,10.4,13.0,5.9,5.8,5,2,8,55.0,Biology,7
2024-11-13,6.7,0.5,7.4,10.0,4.3,7.8,7,6,8,35.0,Engineering Mathematics,4
2025-09-16,6.6,3.2,6.0,26.0,8.2,8.6,8,5,5,73.0,Data Structures,10
2020-06-10,,8.1,5.1,0.0,6.7,6.9,9,4,4,96.0,Quantitative Aptitude,10
2021-03-07,7.4,4.2,4.3,11.0,7.4,7.6,9,1,1,86.0,Machine Learning,10
2024-11-10,7.9,6.4,6.0,35.0,9.1,9.0,7,1,3,92.0,Programming,10
2023-12-20,4.4,4.1,3.4,0.0,5.2,7.4,9,4,7,68.0,Accountancy,8
2025-02-04,7.4,6.6,3.2,37.0,8.7,6.7,8,6,0,95.0,Biology,10
2025-07-07,6.5,5.0,4.7,13.0,,7.1,4,3,1,65.0,Geography,10
2023-08-29,6.2,5.9,2.6,,5.6,5.8,5,5,5,75.0,Computer Science,10
2021-08-15,7.0,2.9,5.9,73.0,8.6,6.9,7,6,1,55.0,Operating Systems,10
2025-08-31,6.1,3.8,13.8,11.0,4.8,5.4,8,3,10,40.0,Computer Science,5
2021-06-15,7.8,6.2,3.0,36.0,,6.8,4,4,3,84.0,Political Science,10
2022-10-08,5.7,0.5,7.6,20.0,3.8,6.2,8,4,9,22.0,Electronics,4
2022-06-23,7.1,6.3,5.2,17.0,6.5,7.3,8,5,4,76.0,Physics,10
2021-09-04,5.9,2.9,7.5,36.0,5.6,7.4,9,5,5,43.0,Programming,8
2024-04-09,7.4,6.6,3.0,36.0,6.3,8.5,9,4,1,94.0,Electronics,10
2021-08-10,7.5,3.7,3.7,23.0,6.3,9.2,7,2,1,78.0,Electronics,10
2024-08-01,6.0,2.8,6.2,25.0,5.6,6.8,8,4,8,38.0,Mathematics,6
2023-08-29,7.5,5.3,5.0,37.0,7.6,7.9,6,3,3,69.0,Programming,10
2020-05-21,2.8,9.2,4.7,9.0,,5.4,3,3,4,100.0,History,10
2024-07-17,7.2,2.1,8.7,13.0,6.1,5.9,4,6,9,43.0,Biology,5
2022-03-31,8.1,4.4,5.1,43.0,8.0,8.7,10,6,1,67.0,Research,10
2025-08-06,5.9,4.8,3.0,22.0,5.3,7.4,9,1,5,56.0,Electronics,10
2023-11-30,6.3,0.9,9.8,17.0,7.1,6.2,10,4,6,33.0,Operating Systems,3
2021-03-16,5.6,5.9,2.2,41.0,7.4,7.0,9,6,1,83.0,Programming,10
2025-05-22,,5.8,5.7,21.0,7.2,4.4,3,5,1,84.0,Political Science,10
2024-02-26,7.1,4.5,2.1,22.0,7.7,6.0,8,5,4,77.0,Economics,10
2022-09-14,6.6,1.9,6.6,23.0,6.0,5.7,9,2,10,40.0,Mathematics,5
2020-11-27,8.2,8.2,3.7,57.0,8.4,8.6,8,5,1,100.0,Electronics,10
2021-09-20,5.1,4.5,3.0,3.0,4.2,6.8,6,7,3,70.0,Current Affairs,10
2024-12-24,6.7,8.0,4.6,17.0,9.2,5.3,6,3,2,100.0,Computer Science,10
2025-08-03,6.9,3.8,7.9,87.0,7.5,8.0,5,5,4,73.0,English,10
2023-12-21,7.4,8.4,6.3,31.0,6.3,7.4,3,7,4,93.0,History,10
2021-03-18,5.2,3.4,3.2,23.0,6.9,5.9,9,2,5,65.0,Accountancy,9
2022-03-07,6.9,6.8,2.1,13.0,8.4,9.3,6,1,4,93.0,English,10
2022-08-04,7.5,6.3,4.5,10.0,4.8,,7,3,4,68.0,Reasoning,10
2022-06-27,3.3,7.4,5.1,34.0,5.6,5.2,10,7,3,100.0,Electronics,10
2025-08-08,7.8,6.2,4.6,61.0,8.4,7.3,7,7,1,94.0,Quantitative Aptitude,10
2024-05-24,8.1,8.4,3.6,39.0,6.8,,3,4,2,97.0,Current Affairs,10
2021-12-15,6.4,5.2,5.3,19.0,7.5,6.3,9,7,6,68.0,Electronics,10
2022-11-02,8.2,5.0,5.7,69.0,9.6,6.9,8,2,1,94.0,Database Systems,10
2020-01-19,8.2,2.4,5.7,37.0,7.4,6.7,6,2,3,48.0,Physics,9
2022-06-28,6.5,3.1,7.1,17.0,4.7,5.6,8,6,6,41.0,Accountancy,5
2023-05-23,5.8,6.7,5.1,0.0,6.3,6.4,6,6,3,96.0,Operating Systems,10
2025-09-09,2.0,6.4,8.2,22.0,3.5,4.1,7,6,6,62.0,Engineering Mathematics,6
2022-11-19,7.4,4.3,5.4,3.0,6.3,6.8,7,7,2,76.0,Computer Networks,10
2023-01-16,5.6,3.6,7.5,12.0,6.8,5.2,5,2,7,52.0,Political Science,8
2020-07-16,6.9,8.0,6.9,10.0,7.9,7.8,9,5,2,100.0,Machine Learning,10
2024-06-17,9.2,4.4,0.9,29.0,7.8,8.7,6,6,1,56.0,Chemistry,10
2021-10-10,6.8,8.0,5.6,4.0,,5.6,6,1,2,92.0,Programming,10
2022-07-28,6.1,6.0,4.0,39.0,7.0,5.7,5,1,3,87.0,Programming,10
2021-07-11,7.2,4.4,6.6,29.0,8.4,6.3,10,3,4,55.0,Research,10
2025-11-21,8.0,10.0,2.3,29.0,5.9,6.9,10,6,0,100.0,Physics,10
2025-08-21,8.6,5.4,3.2,50.0,7.5,,10,3,3,71.0,Programming,10
2023-01-07,8.5,7.8,5.6,53.0,7.4,8.4,10,4,2,100.0,Machine Learning,10
2020-01-26,5.4,1.3,9.7,27.0,6.9,6.2,9,4,8,32.0,Machine Learning,5
2024-09-19,7.2,4.4,5.2,32.0,6.9,6.5,6,3,4,74.0,Engineering Mathematics,10
2023-02-19,5.6,6.2,4.6,33.0,5.3,,10,7,3,76.0,Data Structures,10
2024-05-24,7.8,11.7,3.0,38.0,8.6,7.5,7,3,1,100.0,Project Work,10
2025-06-24,8.0,4.6,3.5,71.0,10.0,7.8,10,2,2,83.0,Physics,10
2022-11-28,6.8,4.3,8.9,25.0,5.5,5.3,7,5,8,58.0,Accountancy,8
2024-06-14,6.4,2.8,9.7,8.0,7.1,6.1,8,4,1,60.0,Chemistry,9
2020-09-30,8.7,2.6,4.6,54.0,8.8,8.7,4,5,1,65.0,Exam Revision,10
2025-05-14,6.0,10.2,4.0,112.0,9.0,7.1,8,5,2,100.0,Electronics,10
2022-05-23,3.6,7.7,4.2,0.0,2.6,5.4,6,3,6,83.0,Data Structures,10
2022-09-20,7.6,2.0,2.2,32.0,6.2,8.2,9,7,9,49.0,Research,10
2021-11-30,6.3,4.2,3.0,18.0,,5.8,8,4,3,60.0,Quantitative Aptitude,10
2025-04-16,5.9,3.8,5.8,38.0,6.6,7.9,7,7,1,80.0,Database Systems,10
2024-12-27,4.8,3.2,7.4,43.0,7.3,6.7,7,7,5,55.0,Biology,8
2024-10-18,7.0,6.8,4.0,24.0,,,3,7,3,86.0,History,10
2022-02-01,7.5,6.4,1.6,46.0,9.6,5.5,9,7,0,94.0,Operating Systems,10
2024-04-16,6.6,6.5,5.2,48.0,9.3,6.9,5,3,2,100.0,Current Affairs,10
2024-01-16,6.3,2.8,8.5,33.0,5.1,5.3,7,3,8,45.0,Database Systems,6
2022-04-19,8.1,9.5,4.6,20.0,7.7,7.2,7,3,5,100.0,Business Studies,10
2025-12-05,6.3,5.6,6.4,12.0,8.0,7.5,9,1,3,70.0,Physics,10
2020-05-07,6.2,2.4,7.0,3.0,4.8,6.2,5,6,5,56.0,Economics,6
2024-01-31,5.9,2.5,3.3,20.0,8.8,7.0,6,4,1,63.0,Chemistry,10
2020-08-06,7.7,7.2,2.7,27.0,8.6,8.4,6,6,3,100.0,Chemistry,10
2020-03-13,4.9,4.1,9.3,4.0,5.0,5.6,4,3,9,63.0,Biology,7
2020-01-25,6.7,7.5,3.1,58.0,8.3,8.7,7,4,2,91.0,Mathematics,10
2023-04-04,7.8,8.1,2.7,34.0,7.1,6.0,7,7,2,100.0,Project Work,10
2022-11-30,6.5,6.5,4.9,26.0,5.8,4.8,10,7,4,84.0,Machine Learning,9
2024-03-31,8.2,7.7,3.1,58.0,9.0,,6,6,1,97.0,Chemistry,10
2021-05-04,7.6,4.9,5.8,24.0,8.5,6.8,9,1,1,88.0,Quantitative Aptitude,10
2021-11-10,7.5,6.3,3.8,3.0,6.5,7.0,8,6,1,93.0,Programming,10
2022-04-02,6.5,2.4,13.2,23.0,6.9,6.4,5,7,8,53.0,Reasoning,6
2023-02-26,7.1,2.1,1.5,43.0,8.0,7.2,6,5,2,53.0,Engineering Mathematics,10
2025-07-18,6.1,3.8,5.5,,7.1,6.1,7,7,3,71.0,Programming,10
2023-08-01,8.6,4.0,4.2,0.0,8.3,7.6,10,2,5,67.0,Operating Systems,9
2021-12-21,7.6,6.6,5.0,16.0,6.4,6.1,5,1,3,81.0,Biology,10
2020-05-26,7.4,8.8,4.4,33.0,8.7,8.3,8,3,1,100.0,Mathematics,10
2024-03-02,6.6,5.2,5.6,39.0,6.3,5.5,4,1,5,68.0,Geography,10
2022-03-27,8.0,7.7,4.7,88.0,9.0,7.1,7,5,3,100.0,Machine Learning,10
2023-01-01,7.4,4.7,5.3,55.0,6.3,7.1,5,7,3,63.0,Quantitative Aptitude,10
2021-06-25,4.5,7.8,4.7,19.0,6.7,2.8,4,5,5,85.0,Project Work,10
2020-07-24,6.8,4.1,7.1,25.0,7.8,5.5,5,6,2,68.0,Business Studies,10
2024-02-14,5.8,2.6,8.9,34.0,6.0,7.5,9,6,9,43.0,Database Systems,5
2020-02-13,6.1,2.0,8.6,24.0,7.2,6.4,7,5,5,60.0,Database Systems,9
2024-09-01,6.2,6.2,3.1,40.0,5.3,6.9,9,2,5,77.0,Physics,10
2021-01-05,7.6,3.1,9.9,9.0,6.5,5.0,5,6,7,48.0,History,8
2022-07-11,6.6,5.5,4.6,21.0,5.7,8.2,5,2,4,69.0,Current Affairs,10
2022-12-29,8.0,6.6,4.0,51.0,7.2,8.4,10,7,3,81.0,Research,10
2025-09-05,8.7,4.3,3.9,66.0,9.7,7.6,9,5,1,62.0,Chemistry,10
2023-08-20,7.2,4.9,4.0,27.0,8.1,7.4,5,3,3,87.0,Exam Revision,10
2024-05-15,6.7,12.0,4.2,4.0,7.7,5.1,8,6,5,100.0,Electronics,10
2024-08-11,8.6,5.4,5.0,105.0,9.6,8.1,7,2,3,77.0,Business Studies,10
2021-07-24,4.5,8.3,5.3,5.0,7.7,5.0,9,6,5,94.0,Mathematics,10
2021-03-09,8.1,4.0,8.8,24.0,3.8,6.7,5,4,10,46.0,History,5
2025-01-31,6.8,9.1,4.8,8.0,,7.4,5,6,7,100.0,Economics,10
2024-11-05,7.6,4.6,15.151156111152838,20.0,7.4,7.9,9,5,3,70.0,Electronics,10
2022-06-03,7.4,6.8,2.3,28.0,7.3,5.8,6,2,1,88.0,Geography,10
2021-07-17,7.3,4.3,6.4,13.0,5.9,5.5,9,2,5,57.0,Research,9
2025-11-18,,6.5,3.8,25.0,6.4,8.1,10,6,3,85.0,Data Structures,10
2022-09-17,6.0,5.5,3.3,25.0,7.2,5.6,6,3,1,82.0,Database Systems,10
2022-04-24,3.2,1.1,8.6,34.0,4.7,6.6,6,7,7,37.0,Database Systems,4
2022-04-28,8.2,3.1,10.2,20.0,6.4,7.0,7,7,10,37.0,Biology,6
2025-12-07,6.1,4.0,6.2,27.0,7.7,5.9,3,6,5,57.0,History,9
2023-04-15,4.6,3.4,9.9,3.0,6.6,6.8,6,5,8,48.0,Geography,6
2020-12-02,4.9,4.9,4.5,16.0,6.7,5.7,10,3,2,56.0,Programming,8
2024-02-05,7.9,3.1,11.8,21.0,5.9,7.0,10,6,9,45.0,Computer Networks,4
2020-05-22,5.5,12.0,2.4,27.0,5.1,6.2,7,3,3,100.0,Computer Science,10
2020-03-12,5.9,10.9,8.4,18.0,7.3,6.1,7,5,3,100.0,Exam Revision,10
2021-05-07,8.0,3.2,6.6,7.0,7.3,7.2,6,2,5,61.0,Reasoning,8
2022-11-17,5.6,4.1,9.8,34.0,5.1,5.7,7,4,10,35.0,Electronics,5
2020-07-28,7.8,5.5,3.4,74.0,8.9,6.9,7,1,2,76.0,Computer Science,10
2021-06-20,3.7,6.6,5.6,1.0,4.4,6.9,5,1,5,84.0,Exam Revision,10
2020-05-19,6.1,4.5,4.3,3.0,6.4,6.6,7,1,5,63.0,Exam Revision,8
2022-06-02,5.1,4.9,13.894700958350725,59.0,7.6,6.8,6,2,5,79.0,Research,10
2025-06-10,7.7,8.4,5.4,0.0,6.3,7.1,8,5,5,93.0,Operating Systems,10
2021-03-18,9.0,7.7,3.6,55.0,8.2,7.0,8,7,4,98.0,Computer Science,10
2024-01-01,6.3,6.1,4.5,22.0,6.9,5.8,7,1,5,80.0,Machine Learning,10
2020-01-22,,2.9,3.6,45.0,5.6,3.8,5,6,2,52.0,Programming,9
2023-06-16,9.0,7.5,1.8,53.0,7.5,8.6,8,6,3,100.0,Chemistry,10
2022-09-12,7.5,3.5,4.6,36.0,8.6,7.3,6,7,5,61.0,Geography,10
2025-04-22,7.4,6.3,4.3,25.0,6.6,6.4,8,2,5,92.0,Operating Systems,10
2025-05-10,6.8,6.7,3.4,40.0,6.0,7.4,8,2,1,100.0,Biology,10
2024-04-29,6.4,2.2,5.0,10.0,5.3,8.3,6,2,7,45.0,Accountancy,8
2021-03-28,8.0,6.7,0.5,46.0,8.5,6.2,5,1,2,90.0,Economics,10
2022-04-14,7.5,4.3,5.8,12.0,6.1,5.9,4,6,7,51.0,English,10
2024-03-18,7.3,4.1,1.7,,7.5,8.5,3,3,1,78.0,Current Affairs,10
2025-07-10,8.5,4.3,3.2,26.0,7.2,7.5,6,4,1,77.0,Project Work,10
2021-11-15,6.1,4.3,4.3,29.0,5.7,5.8,6,2,3,57.0,Reasoning,10
2025-04-07,5.8,7.2,2.5,78.0,6.3,,9,6,3,84.0,Machine Learning,10
2025-01-01,4.5,1.9,9.4,12.0,3.2,4.5,9,5,9,34.0,Engineering Mathematics,1
2021-04-05,6.4,11.3,3.8,13.0,6.6,6.5,5,6,3,100.0,Biology,10
2024-12-15,6.3,5.8,5.4,13.0,5.9,5.0,10,1,5,79.0,Machine Learning,9
2020-05-27,5.4,12.0,4.5,8.0,6.1,5.9,6,4,2,100.0,Quantitative Aptitude,10
2025-02-19,4.7,2.3,3.5,27.0,8.4,6.0,9,1,4,52.0,Physics,8
2025-12-16,8.0,7.2,0.8,42.0,,6.8,8,4,0,100.0,Mathematics,10
2024-06-29,4.5,6.6,8.2,30.0,6.9,5.4,7,4,4,93.0,Operating Systems,10
2023-10-29,8.1,5.6,4.9,0.0,7.2,6.9,5,4,2,84.0,Computer Science,10
2020-02-29,7.7,2.9,14.0,21.0,7.3,7.6,7,5,5,58.0,Data Structures,6
2025-03-07,6.4,9.0,2.9,12.0,8.3,7.0,8,6,5,100.0,Programming,10
2020-06-12,4.3,9.0,3.8,16.0,6.0,5.8,8,3,2,98.0,Biology,10
2024-09-30,7.7,3.2,3.2,35.0,6.6,8.9,6,6,2,69.0,Economics,10
2024-07-26,7.1,3.7,6.6,6.0,5.8,6.4,4,4,4,43.0,Project Work,8
2020-05-08,8.2,8.1,3.3,24.0,7.6,6.6,9,3,3,100.0,Chemistry,10
